condition,time_ms,mean_H
A,0.0,1.0000029802322388
A,0.10000000149011612,1.000006079673767
A,0.20000000298023224,1.0000090599060059
A,0.30000001192092896,1.0000121593475342
A,0.4000000059604645,1.0000152587890625
A,0.5,1.0000182390213013
A,0.6000000238418579,1.00002121925354
A,0.699999988079071,1.0000241994857788
A,0.800000011920929,1.0000271797180176
A,0.9000000357627869,1.0000301599502563
A,1.0,1.0000331401824951
A,1.100000023841858,1.0000361204147339
A,1.2000000476837158,1.0000391006469727
A,1.3000000715255737,1.0000420808792114
A,1.399999976158142,1.0000449419021606
A,1.5,1.0000479221343994
A,1.600000023841858,1.0000509023666382
A,1.7000000476837158,1.0000537633895874
A,1.8000000715255737,1.0000567436218262
A,1.899999976158142,1.0000596046447754
A,2.0,1.0000624656677246
A,2.1000001430511475,1.0000654458999634
A,2.200000047683716,1.0000683069229126
A,2.299999952316284,1.0000711679458618
A,2.4000000953674316,1.000074028968811
A,2.5,1.0000768899917603
A,2.6000001430511475,1.0000797510147095
A,2.700000047683716,1.0000826120376587
A,2.799999952316284,1.000085473060608
A,2.9000000953674316,1.0000883340835571
A,3.0,1.0000911951065063
A,3.1000001430511475,1.0000940561294556
A,3.200000047683716,1.0000967979431152
A,3.299999952316284,1.0000996589660645
A,3.4000000953674316,1.0001025199890137
A,3.5,1.0001052618026733
A,3.6000001430511475,1.0001081228256226
A,3.700000047683716,1.0001108646392822
A,3.799999952316284,1.000113606452942
A,3.9000000953674316,1.0001163482666016
A,4.0,1.0001192092895508
A,4.099999904632568,1.0001219511032104
A,4.200000286102295,1.0001245737075806
A,4.300000190734863,1.0001273155212402
A,4.400000095367432,1.0001301765441895
A,4.5,1.0001329183578491
A,4.599999904632568,1.0001355409622192
A,4.700000286102295,1.000138282775879
A,4.800000190734863,1.0001410245895386
A,4.900000095367432,1.0001436471939087
A,5.0,1.0001463890075684
A,5.099999904632568,1.000149130821228
A,5.200000286102295,1.0001517534255981
A,5.300000190734863,1.0001544952392578
A,5.400000095367432,1.000157117843628
A,5.5,1.000159740447998
A,5.599999904632568,1.0001624822616577
A,5.700000286102295,1.0001651048660278
A,5.800000190734863,1.000167727470398
A,5.900000095367432,1.000170350074768
A,6.0,1.0001729726791382
A,6.099999904632568,1.0001755952835083
A,6.200000286102295,1.0001782178878784
A,6.300000190734863,1.0001808404922485
A,6.400000095367432,1.0001834630966187
A,6.5,1.0001860857009888
A,6.599999904632568,1.0001887083053589
A,6.700000286102295,1.0001912117004395
A,6.800000190734863,1.00019371509552
A,6.900000095367432,1.0001963376998901
A,7.0,1.0001988410949707
A,7.099999904632568,1.0002014636993408
A,7.200000286102295,1.000204086303711
A,7.300000190734863,1.0002065896987915
A,7.400000095367432,1.0002092123031616
