preset,rho_passive,seed,H_mean,H_std,H_min_obs,H_max_obs,H_floor_frac,H_ceil_frac,mean_rate_hz,elapsed_s,passes
DEFAULT_HDP,0.005,0,0.9734687805175781,2.6929500102996826,0.12803183495998383,9.91657543182373,0.0,0.084,40.197200775146484,0.4159413749584928,0
DEFAULT_HDP,0.005,1,1.086768627166748,2.8606128692626953,0.11988047510385513,9.950557708740234,6e-07,0.0957536,43.01479721069336,0.11451074993237853,0
DEFAULT_HDP,0.005,2,0.8849738836288452,2.5473105907440186,0.1274506151676178,9.916025161743164,0.0,0.0738496,38.61039733886719,0.12246899993624538,0
DEFAULT_HDP,0.005,3,0.8326894044876099,2.456609010696411,0.12854884564876556,9.918805122375488,0.0,0.067387,37.892398834228516,0.12237208406440914,0
DEFAULT_HDP,0.005,4,0.9726274013519287,2.688854932785034,0.1247495785355568,9.925630569458008,0.0,0.0824548,40.295997619628906,0.1569498749449849,0
DEFAULT_HDP,0.007670637023171957,0,1.003563642501831,2.7376675605773926,0.12548792362213135,9.914481163024902,0.0,0.086256,41.28679656982422,0.13153949996922165,0
DEFAULT_HDP,0.007670637023171957,1,1.087260365486145,2.8606581687927246,0.1196342334151268,9.942497253417969,1.6e-06,0.096,43.030399322509766,0.11881079094018787,0
DEFAULT_HDP,0.007670637023171957,2,0.9653024077415466,2.675175666809082,0.1247214823961258,9.923741340637207,0.0,0.0814112,40.04840087890625,0.12457633309531957,0
DEFAULT_HDP,0.007670637023171957,3,0.9167135953903198,2.597019672393799,0.12567906081676483,9.91826343536377,0.0,0.0753132,39.26519775390625,0.12928720796480775,0
DEFAULT_HDP,0.007670637023171957,4,1.0186655521392822,2.7584116458892822,0.12454807013273239,9.931671142578125,0.0,0.0873502,41.257198333740234,0.11781750002410263,0
DEFAULT_HDP,0.01176773446825126,0,1.065538763999939,2.8239779472351074,0.12496860325336456,9.941763877868652,0.0,0.09178,42.11199951171875,0.11596379103139043,0
DEFAULT_HDP,0.01176773446825126,1,1.0883418321609497,2.8603596687316895,0.11903350800275803,9.955984115600586,6e-07,0.096,43.44719696044922,0.14805595891084522,0
DEFAULT_HDP,0.01176773446825126,2,1.0807069540023804,2.8472774028778076,0.12688593566417694,9.925135612487793,0.0,0.0942646,42.18239974975586,0.12092908297199756,0
DEFAULT_HDP,0.01176773446825126,3,1.0537333488464355,2.8077828884124756,0.12601327896118164,9.93518352508545,0.0,0.0912796,41.59000015258789,0.11911991704255342,0
DEFAULT_HDP,0.01176773446825126,4,1.0680128335952759,2.828923463821411,0.12266460806131363,9.931432723999023,0.0,0.0928584,42.0796012878418,0.1177191250026226,0
DEFAULT_HDP,0.01805320393820497,0,1.120959758758545,2.8988938331604004,0.12574666738510132,9.945717811584473,0.0,0.098503,42.46079635620117,0.12258487497456372,0
DEFAULT_HDP,0.01805320393820497,1,1.0901081562042236,2.8596036434173584,0.12005531787872314,9.944665908813477,0.0,0.096,43.46959686279297,0.11719362495932728,0
DEFAULT_HDP,0.01805320393820497,2,1.1179684400558472,2.8967814445495605,0.12671823799610138,9.949875831604004,0.0,0.098372,43.323997497558594,0.11772237508557737,0
DEFAULT_HDP,0.01805320393820497,3,1.1245367527008057,2.905128240585327,0.12630748748779297,9.948274612426758,0.0,0.0989858,42.92479705810547,0.1481331669492647,0
DEFAULT_HDP,0.01805320393820497,4,1.090509057044983,2.8592779636383057,0.12322265654802322,9.936518669128418,0.0,0.0959934,42.339195251464844,0.12150599993765354,0
DEFAULT_HDP,0.027695914903053766,0,1.130157709121704,2.9143240451812744,0.12806424498558044,9.95971965789795,0.0,0.1,51.712799072265625,0.11917062499560416,0
DEFAULT_HDP,0.027695914903053766,1,1.093422770500183,2.858480453491211,0.12242580950260162,9.956981658935547,0.0,0.096,42.96759796142578,0.14788229193072766,0
DEFAULT_HDP,0.027695914903053766,2,1.131010890007019,2.911487579345703,0.1283334344625473,9.947226524353027,0.0,0.1,44.119598388671875,0.11898066697176546,0
DEFAULT_HDP,0.027695914903053766,3,1.1310573816299438,2.9113364219665527,0.12956145405769348,9.944025993347168,0.0,0.1,43.92759704589844,0.11415491695515811,0
DEFAULT_HDP,0.027695914903053766,4,1.0934474468231201,2.8585450649261475,0.1231638491153717,9.944976806640625,0.0,0.096,42.65199661254883,0.1271295000333339,0
DEFAULT_HDP,0.042489062049196814,0,1.1358230113983154,2.909738779067993,0.13021549582481384,9.945358276367188,0.0,0.1,44.03759765625,0.15831874997820705,0
DEFAULT_HDP,0.042489062049196814,1,1.0981700420379639,2.857025623321533,0.12781257927417755,9.928168296813965,0.0,0.096,43.045597076416016,0.11875712499022484,0
DEFAULT_HDP,0.042489062049196814,2,1.1362533569335938,2.909252643585205,0.1299927532672882,9.956679344177246,0.0,0.1,43.753196716308594,0.12417308299336582,0
DEFAULT_HDP,0.042489062049196814,3,1.1363215446472168,2.9094786643981934,0.13013789057731628,9.956039428710938,0.0,0.1,43.597599029541016,0.14698566705919802,0
DEFAULT_HDP,0.042489062049196814,4,1.0993428230285645,2.8573484420776367,0.126763716340065,9.9378080368042,0.0,0.096,42.91519546508789,0.11914241593331099,0
DEFAULT_HDP,0.0651836344868839,0,1.144492268562317,2.906719446182251,0.13607914745807648,9.943638801574707,0.0,0.1,43.64680099487305,0.11841929203364998,0
DEFAULT_HDP,0.0651836344868839,1,1.1142414808273315,2.863806962966919,0.1333688348531723,9.930318832397461,0.0,0.0962922,43.10599899291992,0.12658500007819384,0
DEFAULT_HDP,0.0651836344868839,2,1.1445508003234863,2.906852960586548,0.1354149430990219,9.942962646484375,0.0,0.1,43.8235969543457,0.11869458307046443,0
DEFAULT_HDP,0.0651836344868839,3,1.1443901062011719,2.906970739364624,0.1359824687242508,9.9429292678833,0.0,0.1,43.87879943847656,0.11966691701672971,0
DEFAULT_HDP,0.0651836344868839,4,1.135055422782898,2.892223358154297,0.13343819975852966,9.941503524780273,0.0,0.0984644,43.249996185302734,0.12641354207880795,0
DEFAULT_HDP,0.1,0,1.159386157989502,2.9018537998199463,0.1459745168685913,9.934441566467285,0.0,0.1,43.53479766845703,0.16699500009417534,0
DEFAULT_HDP,0.1,1,1.1595133543014526,2.9014627933502197,0.15174061059951782,9.928707122802734,0.0,0.0997122,43.41879653930664,0.14878437493462116,0
DEFAULT_HDP,0.1,2,1.1593704223632812,2.9019393920898438,0.14598782360553741,9.949625968933105,0.0,0.1,43.657196044921875,0.12180504202842712,0
DEFAULT_HDP,0.1,3,1.1600202322006226,2.9016082286834717,0.1459490805864334,9.940205574035645,0.0,0.1,43.28159713745117,0.14737799996510148,0
DEFAULT_HDP,0.1,4,1.1595277786254883,2.901190996170044,0.1423238217830658,9.945816040039062,0.0,0.1,43.52280044555664,0.11405745788943022,0
DEFAULT_HDP,0.15341274046343906,0,1.183038353919983,2.8938310146331787,0.166272833943367,9.938680648803711,0.0,0.1,43.526798248291016,0.12361949996557087,0
DEFAULT_HDP,0.15341274046343906,1,1.1834133863449097,2.893564224243164,0.168496236205101,9.933348655700684,0.0,0.1,43.12999725341797,0.1258369160350412,0
DEFAULT_HDP,0.15341274046343906,2,1.1830756664276123,2.8940467834472656,0.16697958111763,9.93779182434082,0.0,0.1,43.638397216796875,0.14444062497932464,0
DEFAULT_HDP,0.15341274046343906,3,1.1831812858581543,2.8937103748321533,0.17488212883472443,9.916129112243652,0.0,0.1,43.28999710083008,0.1291056249756366,0
DEFAULT_HDP,0.15341274046343906,4,1.183600664138794,2.893524646759033,0.1718415766954422,9.926969528198242,0.0,0.1,43.12439727783203,0.1427176669239998,0
