rep,rA_std_Hz,rA_dev_Hz,rB_std_Hz,rB_dev_Hz,Delta_R_A_Hz,Delta_R_B_Hz,si_A,si_B,si_block_A,si_block_B,si_swap,SI_many,S_sum
0,8.1686,6.9870,8.5078,8.0534,-1.1816,-0.4544,-0.0780,-0.0274,-0.0071,-0.0982,0.0911,0.0433,-0.1054
1,8.2263,6.5794,8.2232,6.3372,-1.6469,-1.8860,-0.1112,-0.1295,-0.1297,-0.1110,-0.0187,0.0310,-0.2408
2,7.7441,7.2344,8.2547,7.0547,-0.5097,-1.2000,-0.0340,-0.0784,-0.0466,-0.0659,0.0193,0.0265,-0.1124
3,7.9505,6.1667,8.6986,9.1771,-1.7839,0.4785,-0.1264,0.0268,0.0716,-0.1703,0.2419,0.0332,-0.0996
4,8.6589,10.1706,7.7713,6.0208,1.5117,-1.7505,0.0803,-0.1269,-0.1797,0.1337,-0.3134,0.0441,-0.0466
5,8.5204,6.9661,8.2071,5.9271,-1.5542,-2.2801,-0.1004,-0.1613,-0.1795,-0.0818,-0.0977,0.0265,-0.2617
6,7.7339,5.1667,8.8797,8.4062,-2.5672,-0.4735,-0.1990,-0.0274,0.0417,-0.2643,0.3060,0.0154,-0.2264
7,8.1596,8.0430,8.0810,7.1914,-0.1166,-0.8896,-0.0072,-0.0582,-0.0631,-0.0024,-0.0607,0.0025,-0.0654
8,7.9427,7.2474,8.4567,8.0885,-0.6953,-0.3681,-0.0458,-0.0223,0.0091,-0.0770,0.0861,0.0288,-0.0680
9,8.6906,8.3451,7.9744,6.1354,-0.3455,-1.8390,-0.0203,-0.1303,-0.1723,0.0227,-0.1951,0.0393,-0.1506
10,8.2133,5.0859,8.8918,6.9818,-3.1274,-1.9100,-0.2352,-0.1203,-0.0810,-0.2723,0.1912,0.0300,-0.3555
11,8.1366,6.3073,8.4455,9.0677,-1.8293,0.6222,-0.1266,0.0355,0.0541,-0.1449,0.1991,0.0264,-0.0911
12,9.0159,7.2318,8.5078,4.1615,-1.7841,-4.3464,-0.1098,-0.3431,-0.3684,-0.0811,-0.2873,0.0348,-0.4529
13,8.2313,6.9414,8.1428,7.0586,-1.2899,-1.0842,-0.0850,-0.0713,-0.0767,-0.0796,0.0029,0.0259,-0.1563
14,8.2616,7.3555,8.2171,8.3164,-0.9061,0.0993,-0.0580,0.0060,0.0033,-0.0553,0.0586,0.0327,-0.0520
15,8.3246,6.1016,8.4065,7.2669,-2.2230,-1.1396,-0.1541,-0.0727,-0.0678,-0.1589,0.0910,0.0169,-0.2268
16,8.6960,8.0729,8.0457,5.9440,-0.6231,-2.1017,-0.0372,-0.1502,-0.1880,0.0017,-0.1897,0.0268,-0.1874
17,8.1027,8.1003,8.0909,9.2253,-0.0025,1.1344,-0.0002,0.0655,0.0648,0.0006,0.0642,0.0177,0.0654
18,8.6941,6.9661,8.5097,5.6497,-1.7280,-2.8600,-0.1103,-0.2020,-0.2122,-0.0997,-0.1125,0.0338,-0.3123
19,7.9453,4.4336,8.8804,9.5560,-3.5117,0.6755,-0.2837,0.0366,0.0920,-0.3340,0.4260,0.0313,-0.2470

pooled,Delta_R_A_mean,BCa_lo,BCa_hi
,-1.2957,-1.7760,-0.8025
pooled,Delta_R_B_mean,BCa_lo,BCa_hi
,-1.0787,-1.6579,-0.5125
pooled,si_A_mean,BCa_lo,BCa_hi
,-0.0921,-0.1273,-0.0558
pooled,si_B_mean,BCa_lo,BCa_hi
,-0.0775,-0.1207,-0.0354
pooled,swap_pooled_mean,BCa_lo,BCa_hi,abs_mean,gate_pass
,0.0251,-0.0574,0.1077,0.0251,True
pooled,SI_many_mean,BCa_lo,BCa_hi,gate_clean
,0.0283,0.0240,0.0326,True
pooled,ulanovsky_S_mean,BCa_lo,BCa_hi
,-0.1696,-0.2238,-0.1182
verdict,FALSIFIED,channel_SSA_contradicted+ulanovsky
active_falsifiers,FALSIFIER_Delta_R_A_BCa_upper_lt_0;FALSIFIER_Delta_R_B_BCa_upper_lt_0;FALSIFIER_si_A_BCa_upper_lt_0;FALSIFIER_si_B_BCa_upper_lt_0;FALSIFIER_ulanovsky_diagonal
